,tweet
65,Anyone who’s been watching knew this was coming stop giving these tyrants your hard earned dollars as they will only be weaponized against you. Go to https://t.co/HQQLuGBdHo find companies that share your values &amp; spend your hard earned dollars with people who share your values! https://t.co/t4952MraKm
66,Dear leftist Twitter it is not “ableism” to expect a potential United States senator to be able to form a complete thought and/or sentence. Which John Fetterman clearly could not do! That’s the most basic part of the job and if he can’t do it he doesn’t belong there. #PASen
67,"That’s weird he’s been telling us all week that he is fine and well… What is he hiding? However, based on tonight’s performance he’s clearly hiding a lot from the great people of Pennsylvania!"
68,"Watch this clip and then think about all the members of the media who spent the last 4 months lecturing us about how ""healthy"" John Fetterman supposedly is.

Enemy of the people."
69,YIKES! This poll from the network that moderated the Pennsylvania Senate debate.
70,"Dear leftists, I see that many of you were offended by my Fetterman comments, calling me an “ableist.” After thinking about it, I’d like to apologize … for absolutely nothing. I expect potential senators to be able to form complete thoughts and/or sentences. You idiots. #PASen"
71,The 18% only slightly less mentally impaired than Fetterman.
72,Politico running rapid response per usual for the democrat.
73,Re-upping this…
74,"Clearly not well… Also, Joe Biden told the people of Pennsylvania that he supported fracking and then on day 1 signed an executive order ending major pipelines you can’t trust anything Democrats tell you. 
They say what they need to say to win and then they’ll do the opposite!"
75,OMG John Fetterman it’s worse than any of us could have ever imagined. At this point the moderator is filibustering to make sure he doesn’t get any more Qs. I think that’s 4 in a row to @DrOz. Even today’s partisan hack media can’t cover for Fetterman being brain dead! #PASen
76,"If you’re from New York State tune in to the @leezeldin Kathy Hochul gubernatorial debate and see for yourself why you clearly can’t vote democrat this year. 
Listen to how out of touch she is and how little she cares about the things that matter to you and your family."
77,Pretty obvious why Fetterman refuses to release his full medical records!
78,"Holy shit, Fetterman is fried."
79,John Fetterman is not well. Pass it on.
80,"So Mark Kelly’s strategy to win in Arizona is to lie to his voters. Be whatever you need to be to keep power and then go back to following the lunatic leftist line. Ok got it!
Arizona vote for @bgmasters and have someone who will fight for you not lie to you."
81,"The same morons how blew the Afghan withdrawal are the ones who think they should be in charge of the escalating nuclear crisis with Russia.
What could go wrong?

If you want to stop a nuclear war and more endless wars… vote out all the Dems on Nov 8th!"
82,The entitlement in that letter and the tone from people with little to no leverage (who were beyond rude vicious towards their soon to be new boss for months) are truly something and indicative of so many issues our country will have to face as younger generations get older.
83,"Radical liberals are using woke cancel culture to de-platform &amp; de-monetize Patriots across the country.

These evil actions hurt patriotic Americans businesses &amp; their families.

Join PublicSq to support non-woke small business owners across the nation! https://t.co/HQQLuGBdHo"
84,Quick send in DOCTOR Jill Biden to call them TACOs and they’ll really be able to keep the fake virtue signaling and asinine pretend racism that make up the entirety of the Dem platform going.. clearly a winning strategy. 🙄
85,"Huh… No shit??? Who could have possibly seen this coming? Next we will find out being obese and out of shape could be harmful to you and is not in fact healthy like they’ve been telling us?
Trust the science!!! https://t.co/azECuL27zv"
86,When the Republicans take The House this better be on the top of their list of things to fix. Democrats would put people in jail for this level of election interference and in kind financial contribution if it went the other way and benefited republicans. Where is the FEC?
87,"Parents are you watching? This is where the democrat party is today. Forced vaccinations, no law enforcement (except those weaponized against their political enemies) open borders, crime, war with Russia, a failing economy/energy sector etc. 
You can stop this madness on Nov 8th!"
88,"The democrat party in a nutshell. In a country of aprox 350,000,000 people, a middle aged biological male who transitioned to female about a year ago is the person chosen to go to the Oval Office to talk with the President about being a girl.
That’s who they think is the best fit"
89,Ted absolutely crushed the clowns over at The View
90,Yikes!
91,"Devastating what has happened to New York. If you are pissed about crime and the economy, Hochul is to blame and Zeldin is your alternative. Act like your safety, livelihoods and your family’s well being are on the table… BECAUSE THEY ARE!"
92,"It was bad enough that RINO Tom Emmer had his henchmen attack Tucker Carlson's 25 year old son to the Daily Beast, but now Emmer is trying to throw the staff of another member of Congress under the bus to cover his own ass???

What a pathetic coward. https://t.co/mD0O2WFNr0"
93,"Weak RINOs who support this type of woke social justice bullshit don't belong anywhere close to House GOP Leadership. Drain the swamp!

Daily Caller: Republicans Tear Into One Of Their Leaders For Requesting ‘Social Justice’ Highway Money From Buttigieg

https://t.co/otgixQdSO2"
94,Imagine the level of insanity/depravity in the 42% of Democrats who think the teachers union will do a better job than family influencing their child’s education!!!
95,Perfection https://t.co/Ur1DFO1zkX
96,"Why did Tom Emmer tell his consultants to run to the leftwing Daily Beast to trash Jim Banks, Tucker Carlson and Tucker's family? Does he really think that’s a winning strategy for a Republican House leadership race? Pathetic! https://t.co/kFwi1C5M1P"
97,This is what John Fetterman supports. He has blood on his hands!!!
98,It’s as if they’re trying to make sure people don’t do even the most basic vaccinations. It’s truly hard to even think of these people as serious given all we know about children and COVID and all we don’t know about long term effects. WTF!!!
99,So now with 20 days to an election she’s worried about crime for the first time in her term??? Got it. This logic is why NY has turned to shit.
100,Yikes!
101,WTF is wrong with this guy???
102,Dear everyone who hasn’t lost their minds. You can vote against this insanity on November 8th. Remember it and show up. If you don’t it’s only going to get a lot worse.
103,"Biden's covid vaccine mandate for the military is a disgrace!

https://t.co/Uj7BGiDfZg"
104,If Fetterman is some sort of leftist decoy to make Biden actually sound somewhat intelligent and articulate he’s doing a great job.
105,"If you’re a freedom loving American that wants to fight back against woke corporation’s and woke culture, you need to sign up PublicSq today. 

Non-woke businesses and consumers sign up at https://t.co/HQQLuGTmVw 

Take a second to support patriots rather than those who hate you!"
106,"Yikes! Turns out that the cops aren't fans of leftwing radicals like Sisolak, who bent the knee to BLM and caused violent crime in Nevada to skyrocket."
107,Checks out https://t.co/W3ZtwkLcnj
108,JD Vance just ended Tim Ryan’s political career. https://t.co/TgUZCDfIsX
109,Tim Ryan just got exposed
110,"The Average American family has now lost $6,000 in annual wages under Biden due to inflation. Remember that on November 8th. You can make that stop or you can make it worse by letting democrats continue their insanity."
111,"From the same lying hacks who brought you ""inflation is transitory."""
112,Narrator: They will never be Fact Checked
113,"Fight back against woke corporations. 

Support patriotic businesses that share your values by signing up at https://t.co/Qotm0ehdKx 

Non-woke patriotic consumers and businesses are free to join. 

Retweet if you’re non-woke and to spread the word.🇺🇸🇺🇸🇺🇸"
114,A “conspiracy theorist” these days is simply someone who is capable of obvious pattern recognition.
115,So Nancy Pelosi refuses Trump’s request for a national guard presence on Jan 6 &amp; simultaneously has a documentary film crew in her office where are you can hear her poorly delivered tough guy act… I’m sure I’ll be called conspiracy theorist for thinking this isn’t a coincidence!
116,In Joe Biden’s America it’s easier to find Fentanyl than it is prescription drugs like Adderall…
117,"I was under the impression that far less than this is an impeachable offense…

WH cops to pushing Saudis to postpone oil cuts until after midterms

I found this article on MxM News--a new app without media bias or censorship.

https://t.co/uGQf4o91CZ"
118,"Imagine what would happen if conservative called for consequences for a reporter for stating the obvious? They think it’s fine to hide from the people of Pennsylvania that a potential senator was in capable of holding even a basic conversation? 
That’s Liber Privilege! #pasen https://t.co/0p0ajOoBsR"
119,"The radical left is purging thousands of conservative accounts weeks before the elections.

If you see this tweet, hit retweet and click the link below to join hundreds of thousands of patriotic Americans. 

Together we will build the red state economy. https://t.co/HQQLuGBdHo"
120,"I was told far less than this was impeachable? Why the silence from the media? 

WH cops to pushing Saudis to postpone oil cuts until after midterms

I found this article on MxM News--a new app without media bias or censorship.

https://t.co/uGQf4nQSoR"
121,"Americans are getting crushed and it’s only going to get worse and this guy is demanding billions upon billions for his country to of course be paid almost entirely by the US. We are +/- $75,000,000,000 in the hole already &amp; he probably hasn’t even started.
ENOUGH OF THE INSANITY"
122,"Woke banks and other institutions have been cancelling people for constitutionally-protected speech for the last few years and it keeps getting worse.

It’s time to ditch the woke banks and find a freedom-loving bank that will respect your 1st amendment at https://t.co/JFfFexGahz"
123,"As long as pro-crime Biden lackey Catherine Cortez Masto is in power, every family in Nevada is less safe. #NVSen https://t.co/aAa6FIZ5Ta"
124,This is something the press is supposed to ask but since they’re too busy campaigning for democrats of course they won’t.
125,When Republicans take over the house I hope they investigate this fully. It’s big tech was doing this for Republicans the Democrats would put them all in jail.
126,Holy shit this is so corrupt! WTF
127,"Two months ago: Democrats passed the “INFLATION REDUCTION ACT.”

Today: Inflation surges and rises to a 40-year high."
128,Don’t rule out BOTH!
129,If we actually had journalists they’d point out that this is a big problem for someone who is supposed to be in charge of the free world. Unfortunately we don’t.
130,Google approves Trump's Truth Social for distribution in Google Play | Fox Business https://t.co/BYGztB4wsh
131,BREAKING: Tim Ryan calls to eliminate cash bail nationwide #OHSen https://t.co/lAgKybU9aD
132,"Come on Pennsylvania you can do so much better than this. Can anyone say with a straight face that this man is fit for office? Elect someone who can help fix your economy, end crime (not create more of it) and bring back your jobs! Enough of the insanity!  https://t.co/QW49fnhakL"
133,What else is going on with his brain besides what we see daily? The fact that he needs closed captioning to do a face to face with a friendly reporter indicates there’s a lot more wrong with him than we’re told &amp; of course the MSM will do what they can to carry him over the line!
134,"Tim Ryan is a 20 year career politician, who votes with Biden and Pelosi 100% of the time. In other words, he's a complete fraud! #OHSen"
135,This guys brain is totally fried
136,"And Fake Tapper is such a hack that instead of asking Biden why he has note cards or what's in them, he immediately hands them right back over to him with no questions asked. Don't let anyone fool you into thinking that Tapper is a journalist, he's a lifelong Dem activist."
137,What a disgrace
138,Must watch new ad in #NVSen calling out Biden rubber-stamp Catherine Cortez Masto for voting to hire 87k new IRS agents to terrorize hardworking Americans!
139,"EXCLUSIVE: Republican challenger in Nevada accuses Sen. Catherine Cortez Masto of UNDERMINING Hunter Biden investigation in new ad because she 'took his foreign money' and her husband asked him for security contracts

https://t.co/rdQsA25plj"
140,Yikes!!!
141,Career politician @TimRyan thinks he deserves a medal for spending 20 years living off the taxpayers making 175k per year &amp; working less than 4 days a week...while the district he was elected to represent in Youngstown lost thousands of jobs to China. What a POS! #OHSenDebate
142,"Holy shit, @JDVance1 just KO'd Tim Ryan!!!

""You voted so many times against border wall funding...If you had done your job, she would have never been raped in the first place. Do your job on border security, don't lecture me about opinions I don't actually have.""  #OHSenDebate https://t.co/MzDLevzKeI"
143,Tim Ryan couldn't go one answer without lying thru his teeth. #OHSenDebate
144,"Fight back against woke corporations like PayPal today. Enough is enough!

Patriotic businesses and consumers should sign up at https://t.co/JFfFexp7fz. 

Let’s get the app to #1 on the App Store. We can do this. Tell your friends and family too. 🇺🇸🇺🇸🇺🇸"
145,"I’m proud to endorse my friend @JeffLandry for Governor. Jeff is a strong conservative, who will take on out-of-control crime, fix broken schools &amp; bring common sense back to Louisiana. He will make Louisiana great again!!! #lagov

https://t.co/OCIXwxpNiX"
146,"Ohio you can do so much better than this clown. Not only has he voted with Biden &amp; Nancy Pelosi 100% of the time, but he’s taking $ from the opioid hustlers. 

Tim Ryan Took Money From Opioid Distributor Whose Executives Mocked Addicts as ‘Pillbillies’ https://t.co/xDiSYDGkQO"
147,"Fauci just gave another payout to EcoHealth Alliance – the group of mad ‘scientists’ that funneled tax $ to the Wuhan Lab for animal experiments. Demand Congress defund EcoHealth here now!!!
https://t.co/tZWWFhUUYJ"
148,Strange how many people on here who lost their minds if someone didn’t want to wear an ineffective face diaper seem to be pretty nonchalant about nuclear war.
149,"Maybe PayPal should Fine itself $2500 for pushing a lie? Stop giving these companies your hard earned money! THEY HATE YOU!!!

PayPal Reverses Course, Says Company Will Not Seize Money From People for Promoting ‘Misinformation’ https://t.co/KxRhtLREDO"
150,If you’re sick of the daily crap from big tech and corporate America go check out @officialpsq. Whether you’re a business looking to connect with patriotic consumers or a patriot looking to give your hard earned money to a business that shares your core values look no further!
151,“Language was never intended to be inserted in our policy” - as if it happened by accident and wasn’t reviewed by teams of lawyers before it was added.
152,"As usual the error would likely be used and enforced in only one direction. You know they definitely wanted to make this a thing, right?"
153,"Help @prageru fight back against this insanity and give them your thoughts on this hot button topic: 

Should the government 'forgive' student loan debt? https://t.co/XDZhr1vUTB"
154,Nevada you can do something about this insanity in Nov 8th. When will enough be enough for democrat incompetence? When will you start thinking about your family’s safety and well-being?
155,"If you were trying to destroy a great nation from within would you do anything differently than what the Democrats are doing to America right now? 

It’s like China and Russia are at the helm."
156,"Choose where to spend your hard earned money &amp; the values it supports! Help like minded patriots &amp; build the Red State Economy by supporting American made non-woke companies. 

Visit and sign up today at https://t.co/JFfFexGahz if you’re a non-woke company or consumer. 🇺🇸"
157,"Exclusive: Donald Trump Jr. Blasts Associated Press for Changing Headline to Cover for Democrat Mark Kelly

https://t.co/MI4YJK25uJ"
158,If we actually had real journalists instead of activists they’d let you know that average gasoline prices are still about $1.50 higher than when Joe Biden took office &amp; that we are draining our strategic oil reserves weeks before an election to appear like prices are going down!
159,"Pennsylvania I hope you’re paying attention to this lunatic. This does not represent anything Pennsylvania stands for… don’t let him and his insanity be your senator. 

Fetterman even makes Biden look intelligent at this point."
160,Enemy of the people
161,"WATCH: Brutal new ad from #MAGAInc exposing leftwing fraud @TimRyan for being a liberal suck up, who votes with Schumer, Pelosi and Biden 100% of the time! #OHSen https://t.co/RvVgJMW8KX"
162,And to really scare the shit out of people remember that Joe Biden is the guy in charge of our response. What if he gets the call during nappy time? We are so screwed.
163,"The Wall Street Journal says Biden will ease sanctions on Venezuela to pump more oil but he won’t do anything to bring back American energy independence and all of the associated jobs etc.

Let that sink in for a second. He will deal with the dictatorial regime but not Americans!"
164,"You can choose where to spend your hard earned money! Support the red state economy and like minded patriots by supporting American made and non-woke companies. 

Visit and sign up today at https://t.co/JFfFexozq1 if you’re a non-woke company or consumer. 🇺🇸"
165,"I’m sure this will be right down the middle and not at all like all the other full leftist fact-checking out there.🙄

When will the “Independent fact checkers” be investigated for election tampering? If even 1 of them was right leaning that’s the first thing that would happen!"
166,"Save America Rally in Minden, NV
Check it out.  https://t.co/QoCkVFITWA"
167,Tim Ryan votes with Biden and Pelosi 100% of the time. He lies to people in Ohio about being an independent voice and then votes in lockstep with Biden when he’s in DC. But leave it to the hacks at Newsweek to carry his water.
168,"So @TimRyan has been running non-stop TV ads lying about JD Vance over the opioid epidemic and this entire time those very ads were being financed with blood money from the Big Pharma companies responsible for the opioid crisis. What a total fraud!!!

https://t.co/TGhKwSY2Z2"
169,"Hey #StandWithUkraine folks. You know how to really hurt Putin? 

Open up American energy again!!! It’s so obvious, but I guess that and the good paying jobs associated with it is a bridge too far for you morons. 

Hey, virtue signaling while doing noting is great too. 🇺🇦🇺🇦🇺🇦"
170,So this is how Dems are artificially lowering gas prices (still at insanely high) right before an election. Pay attention America. They’re willing to gamble anything to let you feel they’re moving things in the right direction. They’re not and prices will skyrocket after Nov 9!
171,"On the same day @PolitiFact rated Tim Ryan saying he ""loves Pelosi"" + votes with her 100% of the time as ""half true,"" they rated Ryan's false claim that he supported my dad's trade agenda as ""mostly true,"" despite all the below evidence, directly contradicting it.

Total hacks!!! https://t.co/OKJjzluXk0"
172,Of course they didn’t. They were vested in an outcome and not what was good for America. That aligns perfectly with their behavior for the last 6 years (and probably before the) perfectly.
173,Times are going to get even tighter than they are right now. Choose to support a small business that shares your beliefs. Let your hard earned money help keep some great American small businesses working. Check out @officialpsq app to find the ones whose value’s align with you.
174,"20 years in Congress &amp; @TimRyan is too much of a lazy ass to show up for work. He's constantly ditching his job in DC &amp; not even spending more time serving his constituents in Ohio. Instead, he's spending his time fundraising in California. Just another selfish career politician!"
175,"Michael Seifert founded @officialpsq because he was outraged by America’s turn to wokeness.

His goal is to connect thousands of freedom-loving Americans with businesses that share their values.

Retweet and sign up at https://t.co/hXkMfMZQkc to take on woke corporatism. 🇺🇸"
176,How about we get every single Floridian back into their homes and back to normal before we send one more cent to the Ukraine?🇺🇦
177,Media will still pretend it didn't happen
178,Yikes!!!
179,"Good afternoon from ‘Dega, one year ago the birthplace of Let’s Go Brandon #LGB #FJB https://t.co/AkANExdmpk"
180,Biden cant bring a fricken bicycle to a stop and Trump is out there catching sharpies out of mid air.
181,"Support the red state economy by supporting American made and non-woke companies.

Visit and sign up today at  https://t.co/isCOFh8PD9 if you’re a non-woke company or consumer. 🇺🇸"
182,Insanity!!! WTF is going on in America?
183,"Is there a consensus on what pronouns to use for World War III if our idiot politicians decide it’s brilliant to get further involved in a regional conflict between two corrupt nations one of whom has the worlds largest nuclear Arsenal? 

Because that’s what really matters."
184,"What tiny fraction (if any) of the almost $75,000,000,000.00 that’s been sent to the Ukraine in the last few months will go to help the hundreds of thousands of American taxpayers in Florida many of whom who lost everything over the last few days?"
185,As hundreds of thousands of Americans suffer in Florida from a terrible hurricane this is what Occupy Democrats is focused on. Not surprising from a party whose leader called 75 million Americans the biggest threat to freedom and democracy! https://t.co/RyI2yKOj3n
186,You couldn't script this stuff anymore if you tried.
187,"Biden lackey @SenCortezMasto is a total disaster for hardworking Nevadans. She supported:

- Insane spending bills that jacked up inflation.

- Massive tax hikes on working families.

- Hiring 87k new IRS agents to take your money.

Vote @AdamLaxalt!

https://t.co/JRgiqBYKf2"
188,"READ MY NEW OPED: Biden smeared MAGA as ""extremists."" Then Tim Ryan told his radical supporters to “kill and confront” Republicans on national TV – Tragically, someone listened to them &amp; the leftist media is purposely ignoring it.

#CaylerEllingson #OhSen

https://t.co/iRuWgPS1Vf"
189,John Fetterman 2022: Soft on crime and soft in the head! https://t.co/8CGxMqRBwV
190,Reporter Ignores Biden's Search for Deceased Congresswoman https://t.co/rZLFUEc8dY
191,At this point could the press be anything other than the enemy of the people?
192,As if we needed further proof that Biden isn’t making decisions and has no idea what his staff is actually doing.
193,"I guess Biden forgot he issued this statement unless he didn’t actually issue this statement!?! 
https://t.co/f7qGtHQJ2T"
194,"Omg #bringbackmasks is currently trending on twitter. 

All of you mentally ill covid freaks are more than welcome to voluntarily wear masks. No one is stopping you. But no more allowing your mental illness and irrational fears to control the lives and behaviors of sane people! https://t.co/oWwYddq916"
195,"Just another hypocritical leftwing fraud.

Tim Ryan Says Americans Need To Give Up Gas Cars as He Drives Around Ohio in Gas Guzzlers

https://t.co/qr7DC7vHXb"
196,Are you paying attention yet?
197,"What is Brandon trying to hide???

Fox News: Biden's office was concerned about 'political sensitivities' of releasing Senate papers, 2010 email reveals

https://t.co/yC1HdzitLa"
198,Violent criminals across Pennsylvania are rooting for Fetterman to win this Senate seat.
199,They won't be happy until they have TOTAL CONTROL over every aspect of your life.
200,These people are insane!
201,Fetterman is so mentally shot that he makes Joe Biden look like Elon Musk.
202,It’s getting beyond ridiculous at this point. Wish we had a real media to call out this blatant persecution!
203,Well this is awkward
204,Fact Check: True
205,"Joe Biden smears Republicans as extremists &amp; fascists.

Dem Senate candidate Tim Ryan calls on people to ""kill &amp; confront"" Republicans.

Some nut listens to their violent rhetoric &amp; admits that he murdered someone for being a Republican...And the leftwing media is totally silent!"
206,WTF!!!!!
207,"Don't let Tim Ryan fool you with his slick TV ads: Tim Ryan is totally owned by Chuck Schumer, Nancy Pelosi and Joe Biden. That's why he votes with them 100% of the time in the House and that's who he will serve in the US Senate."
208,These radical Dems have zero qualms about weaponizing their public office to go after their political enemies. The same exact playbook used by Communists and Fascists throughout world history!!!
209,Joe Biden’s America! https://t.co/mcnlcuElAM
210,An 18 y/o conservative is murdered by 41 year old leftist &amp; the media is totally silent. No connection to Joe Biden and his insane speech of just 2 weeks ago… it’s as though it never happened &amp; doesn’t matter. Of course Trump would not get that benefit b/c our media is broken!
211,"Letitia James doesn't care about the law. She's a Dem activist, who only cares about politics. 

Here's the most recent poll in her reelection race. So she's now desperately trying to fire up her leftwing base with this BS. This is ALL politics, nothing more. 

Disgraceful!!! https://t.co/OY7we3YqjK"
212,This is all about politics. Weaponizing her office to go after her political opponents!
213,The bullshit Dem witch-hunt continues! https://t.co/FQM0MZt6Wp
214,Biden's brain is so melted that he actually thinks people watching him in action *helps* his case that he's mentally fit enough to be in office.
215,"Yikes!!!

The Intercept: House Republicans plan to investigate Chamber of Commerce if they take the majority

https://t.co/pqzQOtprj5"
